ID,Price,Levy,Manufacturer,Model,Prod. year,Category,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Airbags
9263,157,0,61,1110,1939,9,2,5.0,129000,8.0,1,3,0
10116,157,0,7,445,1939,10,2,2.4,126000,4.0,1,3,0
14050,200,0,61,1110,1939,10,2,2.2,169000,4.0,4,3,0
11567,150,0,10,1272,1947,10,2,2.0,165000,6.0,4,3,0
8145,314,0,56,1040,1953,2,2,0.6,150000,4.0,4,3,1
15348,15681,0,56,1489,1953,2,2,1.0,250000,4.0,4,3,0
17130,3200,0,30,571,1953,1,2,3.2,100000,4.0,4,1,0
4941,5331,0,50,781,1964,1,2,2.4,50000,4.0,4,1,0
6908,65858,0,4,46,1965,7,2,4.7,68800,8.0,1,2,2
11467,2200,0,50,724,1968,1,4,2.4,2147483647,4.0,4,1,10
15856,15681,0,2,239,1973,10,2,5.7,100000,8.0,1,3,0
5129,2437,0,29,457,1974,3,2,0.6,5200,1.0,4,3,10
7753,2437,0,29,457,1974,3,2,0.6,5200,1.0,4,3,10
8063,400,0,8,1035,1976,1,4,2.4,255888,8.0,4,2,10
416,15681,0,30,176,1977,10,2,2.4,11111,6.0,4,3,0
15535,5000,0,29,457,1977,3,2,1.6,37500,4.0,4,3,0
12089,1300,0,29,1302,1978,3,2,1.6,98000,4.0,4,3,5
8826,2700,0,12,1084,1980,8,2,2.0,111111,4.0,4,3,0
14431,2800,0,29,1436,1981,3,2,1.3,55000,4.0,4,2,0
12876,31361,0,26,552,1982,1,2,0.8,29500,3.0,4,1,1
4096,1700,0,29,570,1983,1,2,1.6,1000,4.0,4,1,0
6309,1200,0,29,457,1983,3,2,1.6,10000,4.0,4,3,0
1970,750,0,30,450,1984,3,2,2.4,86632,4.0,4,3,0
2688,10976,0,26,552,1984,1,4,1.6,100000,4.0,4,1,0
3611,1800,0,29,570,1984,1,2,1.6,200000,4.0,4,1,10
3965,4704,0,30,682,1984,5,2,5.0,100000,6.0,4,3,0
7896,2000,0,29,457,1984,3,2,1.5,90000,4.0,4,3,0
130,4300,0,7,80,1985,6,3,2.5,1111111,4.0,4,3,1
7844,941,0,56,871,1985,3,2,1.5,20000000,4.0,4,3,0
8309,4200,0,7,883,1985,3,4,2.0,284000,4.0,4,3,0
15419,4234,0,50,724,1985,1,2,2.4,1500,4.0,4,1,0
2006,4704,0,29,457,1986,3,4,1.3,1000,2.0,4,2,0
6168,3450,0,4,11,1986,4,3,2.5,99999,4.0,4,3,0
11074,4704,0,4,46,1986,7,2,3.8,12000,6.0,1,3,0
14251,10976,0,7,1424,1986,3,2,4.2,260000,8.0,1,3,0
5681,6899,0,50,724,1987,4,4,2.4,354000,4.0,4,1,6
11870,4000,0,50,724,1987,1,2,2.9,120000,4.0,4,1,9
12765,20385,0,7,1346,1987,1,3,2.2,243567,4.0,4,1,0
14473,2822,0,7,250,1987,3,2,2.0,240000,4.0,4,3,0
392,2800,0,10,97,1988,3,3,2.4,455680,6.0,4,3,4
410,4000,0,29,174,1988,3,2,1.3,1000,4.0,4,3,6
1706,600,0,4,417,1988,3,2,2.0,300000,4.0,4,3,0
1771,8467,0,7,152,1988,3,2,2.0,1000,4.0,4,3,4
4921,2195,0,29,319,1988,3,2,1.5,150000,4.0,4,3,0
9303,3000,0,10,188,1988,3,2,2.0,222222,6.0,4,3,1
11149,6272,0,8,120,1988,6,2,1.2,189000,4.0,4,2,4
13042,7213,0,12,101,1988,2,2,1.6,154000,4.0,4,2,0
16335,3763,0,7,865,1988,4,3,2.4,13758,4.0,4,3,0
475,3763,0,10,188,1989,3,2,2.0,199000,6.0,4,3,0
4698,2000,0,52,761,1989,7,2,0.8,201000,3.0,4,2,0
5971,2500,0,12,859,1989,2,2,1.8,123457,4.0,4,2,0
6140,3450,0,8,12,1989,3,2,2.0,300000,4.0,4,2,0
6550,5331,0,7,33,1989,3,2,3.0,367000,6.0,1,3,0
5408,5331,0,30,817,1990,6,2,6.3,2000,8.0,4,1,0
6580,3000,0,29,319,1990,3,2,0.3,18101,4.0,4,3,0
7157,3136,0,12,101,1990,3,4,1.8,500,4.0,4,2,0
8297,2700,0,50,724,1990,11,2,2.0,500000,4.0,4,1,0
10023,5000,0,4,11,1990,4,3,2.5,100000,4.0,4,3,0
12251,1400,0,7,883,1990,3,2,2.0,237065,4.0,4,2,0
