,ID,Price,Levy,Manufacturer,Model,Prod. year,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Airbags,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9,Category_10,Category_11
0,9263,157,0,61,1110,1939,2,5.0,129000,8.0,1,3,0,0,0,0,0,0,0,0,0,1,0,0
1,10116,157,0,7,445,1939,2,2.4,126000,4.0,1,3,0,0,0,0,0,0,0,0,0,0,1,0
2,14050,200,0,61,1110,1939,2,2.2,169000,4.0,4,3,0,0,0,0,0,0,0,0,0,0,1,0
3,11567,150,0,10,1272,1947,2,2.0,165000,6.0,4,3,0,0,0,0,0,0,0,0,0,0,1,0
4,8145,314,0,56,1040,1953,2,0.6,150000,4.0,4,3,1,0,1,0,0,0,0,0,0,0,0,0
5,15348,15681,0,56,1489,1953,2,1.0,250000,4.0,4,3,0,0,1,0,0,0,0,0,0,0,0,0
6,17130,3200,0,30,571,1953,2,3.2,100000,4.0,4,1,0,1,0,0,0,0,0,0,0,0,0,0
7,4941,5331,0,50,781,1964,2,2.4,50000,4.0,4,1,0,1,0,0,0,0,0,0,0,0,0,0
8,6908,65858,0,4,46,1965,2,4.7,68800,8.0,1,2,2,0,0,0,0,0,0,1,0,0,0,0
9,11467,2200,0,50,724,1968,4,2.4,2147483647,4.0,4,1,10,1,0,0,0,0,0,0,0,0,0,0
10,15856,15681,0,2,239,1973,2,5.7,100000,8.0,1,3,0,0,0,0,0,0,0,0,0,0,1,0
11,5129,2437,0,29,457,1974,2,0.6,5200,1.0,4,3,10,0,0,1,0,0,0,0,0,0,0,0
12,7753,2437,0,29,457,1974,2,0.6,5200,1.0,4,3,10,0,0,1,0,0,0,0,0,0,0,0
13,8063,400,0,8,1035,1976,4,2.4,255888,8.0,4,2,10,1,0,0,0,0,0,0,0,0,0,0
14,416,15681,0,30,176,1977,2,2.4,11111,6.0,4,3,0,0,0,0,0,0,0,0,0,0,1,0
15,15535,5000,0,29,457,1977,2,1.6,37500,4.0,4,3,0,0,0,1,0,0,0,0,0,0,0,0
16,12089,1300,0,29,1302,1978,2,1.6,98000,4.0,4,3,5,0,0,1,0,0,0,0,0,0,0,0
17,8826,2700,0,12,1084,1980,2,2.0,111111,4.0,4,3,0,0,0,0,0,0,0,0,1,0,0,0
18,14431,2800,0,29,1436,1981,2,1.3,55000,4.0,4,2,0,0,0,1,0,0,0,0,0,0,0,0
19,12876,31361,0,26,552,1982,2,0.8,29500,3.0,4,1,1,1,0,0,0,0,0,0,0,0,0,0
20,4096,1700,0,29,570,1983,2,1.6,1000,4.0,4,1,0,1,0,0,0,0,0,0,0,0,0,0
21,6309,1200,0,29,457,1983,2,1.6,10000,4.0,4,3,0,0,0,1,0,0,0,0,0,0,0,0
22,1970,750,0,30,450,1984,2,2.4,86632,4.0,4,3,0,0,0,1,0,0,0,0,0,0,0,0
23,2688,10976,0,26,552,1984,4,1.6,100000,4.0,4,1,0,1,0,0,0,0,0,0,0,0,0,0
24,3611,1800,0,29,570,1984,2,1.6,200000,4.0,4,1,10,1,0,0,0,0,0,0,0,0,0,0
25,3965,4704,0,30,682,1984,2,5.0,100000,6.0,4,3,0,0,0,0,0,1,0,0,0,0,0,0
26,7896,2000,0,29,457,1984,2,1.5,90000,4.0,4,3,0,0,0,1,0,0,0,0,0,0,0,0
27,130,4300,0,7,80,1985,3,2.5,1111111,4.0,4,3,1,0,0,0,0,0,1,0,0,0,0,0
28,7844,941,0,56,871,1985,2,1.5,20000000,4.0,4,3,0,0,0,1,0,0,0,0,0,0,0,0
29,8309,4200,0,7,883,1985,4,2.0,284000,4.0,4,3,0,0,0,1,0,0,0,0,0,0,0,0
30,15419,4234,0,50,724,1985,2,2.4,1500,4.0,4,1,0,1,0,0,0,0,0,0,0,0,0,0
31,2006,4704,0,29,457,1986,4,1.3,1000,2.0,4,2,0,0,0,1,0,0,0,0,0,0,0,0
32,6168,3450,0,4,11,1986,3,2.5,99999,4.0,4,3,0,0,0,0,1,0,0,0,0,0,0,0
33,11074,4704,0,4,46,1986,2,3.8,12000,6.0,1,3,0,0,0,0,0,0,0,1,0,0,0,0
34,14251,10976,0,7,1424,1986,2,4.2,260000,8.0,1,3,0,0,0,1,0,0,0,0,0,0,0,0
35,5681,6899,0,50,724,1987,4,2.4,354000,4.0,4,1,6,0,0,0,1,0,0,0,0,0,0,0
36,11870,4000,0,50,724,1987,2,2.9,120000,4.0,4,1,9,1,0,0,0,0,0,0,0,0,0,0
37,12765,20385,0,7,1346,1987,3,2.2,243567,4.0,4,1,0,1,0,0,0,0,0,0,0,0,0,0
38,14473,2822,0,7,250,1987,2,2.0,240000,4.0,4,3,0,0,0,1,0,0,0,0,0,0,0,0
39,392,2800,0,10,97,1988,3,2.4,455680,6.0,4,3,4,0,0,1,0,0,0,0,0,0,0,0
40,410,4000,0,29,174,1988,2,1.3,1000,4.0,4,3,6,0,0,1,0,0,0,0,0,0,0,0
41,1706,600,0,4,417,1988,2,2.0,300000,4.0,4,3,0,0,0,1,0,0,0,0,0,0,0,0
42,1771,8467,0,7,152,1988,2,2.0,1000,4.0,4,3,4,0,0,1,0,0,0,0,0,0,0,0
43,4921,2195,0,29,319,1988,2,1.5,150000,4.0,4,3,0,0,0,1,0,0,0,0,0,0,0,0
44,9303,3000,0,10,188,1988,2,2.0,222222,6.0,4,3,1,0,0,1,0,0,0,0,0,0,0,0
45,11149,6272,0,8,120,1988,2,1.2,189000,4.0,4,2,4,0,0,0,0,0,1,0,0,0,0,0
46,13042,7213,0,12,101,1988,2,1.6,154000,4.0,4,2,0,0,1,0,0,0,0,0,0,0,0,0
47,16335,3763,0,7,865,1988,3,2.4,13758,4.0,4,3,0,0,0,0,1,0,0,0,0,0,0,0
48,475,3763,0,10,188,1989,2,2.0,199000,6.0,4,3,0,0,0,1,0,0,0,0,0,0,0,0
49,4698,2000,0,52,761,1989,2,0.8,201000,3.0,4,2,0,0,0,0,0,0,0,1,0,0,0,0
50,5971,2500,0,12,859,1989,2,1.8,123457,4.0,4,2,0,0,1,0,0,0,0,0,0,0,0,0
51,6140,3450,0,8,12,1989,2,2.0,300000,4.0,4,2,0,0,0,1,0,0,0,0,0,0,0,0
52,6550,5331,0,7,33,1989,2,3.0,367000,6.0,1,3,0,0,0,1,0,0,0,0,0,0,0,0
53,5408,5331,0,30,817,1990,2,6.3,2000,8.0,4,1,0,0,0,0,0,0,1,0,0,0,0,0
54,6580,3000,0,29,319,1990,2,0.3,18101,4.0,4,3,0,0,0,1,0,0,0,0,0,0,0,0
55,7157,3136,0,12,101,1990,4,1.8,500,4.0,4,2,0,0,0,1,0,0,0,0,0,0,0,0
56,8297,2700,0,50,724,1990,2,2.0,500000,4.0,4,1,0,0,0,0,0,0,0,0,0,0,0,1
57,10023,5000,0,4,11,1990,3,2.5,100000,4.0,4,3,0,0,0,0,1,0,0,0,0,0,0,0
58,12251,1400,0,7,883,1990,2,2.0,237065,4.0,4,2,0,0,0,1,0,0,0,0,0,0,0,0
59,12306,1000,0,21,141,1990,2,1.6,1111,4.0,4,2,2,0,0,1,0,0,0,0,0,0,0,0
60,12630,2822,0,10,188,1990,2,2.0,111111,6.0,4,3,2,0,0,1,0,0,0,0,0,0,0,0
61,12710,1568,0,29,1285,1990,2,1.6,350000,4.0,4,2,11,0,1,0,0,0,0,0,0,0,0,0
62,13148,3136,0,12,25,1990,4,1.8,500,4.0,4,2,0,0,0,1,0,0,0,0,0,0,0,0
63,13494,5645,0,52,1382,1990,2,0.9,64525,4.0,4,1,0,1,0,0,0,0,0,0,0,0,0,0
64,13919,6300,0,10,1408,1990,2,3.0,300000,6.0,4,3,0,0,0,1,0,0,0,0,0,0,0,0
65,14852,5000,0,4,11,1990,3,2.5,10000,4.0,4,3,0,0,0,0,1,0,0,0,0,0,0,0
66,17208,3136,0,7,1588,1990,4,2.3,350000,4.0,1,3,0,0,0,1,0,0,0,0,0,0,0,0
