,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
0,0,0.0,22,0.0,Healthcare,1.0,1,4.0,Cat_4,D
1,1,1.0,38,1.0,Engineer,0.0,2,3.0,Cat_4,A
2,1,1.0,67,1.0,Engineer,1.0,1,1.0,Cat_6,B
3,0,1.0,67,1.0,Lawyer,0.0,3,2.0,Cat_6,B
4,1,1.0,40,1.0,Entertainment,0.0,3,6.0,Cat_6,A
5,0,1.0,56,0.0,Artist,0.0,2,2.0,Cat_6,C
6,0,0.0,32,1.0,Healthcare,1.0,1,3.0,Cat_6,C
7,1,0.0,33,1.0,Healthcare,1.0,1,3.0,Cat_6,D
8,1,1.0,61,1.0,Engineer,0.0,1,3.0,Cat_7,D
9,1,1.0,55,1.0,Artist,1.0,2,4.0,Cat_6,C
10,1,0.0,26,1.0,Engineer,1.0,1,3.0,Cat_6,A
11,0,0.0,19,0.0,Healthcare,4.0,1,4.0,Cat_4,D
12,1,0.0,19,0.0,Executive,0.0,1,,Cat_3,D
13,0,1.0,70,0.0,Lawyer,0.0,1,1.0,Cat_6,A
14,1,1.0,58,0.0,Doctor,0.0,1,1.0,Cat_3,B
15,1,0.0,41,0.0,Healthcare,1.0,1,2.0,Cat_1,C
16,1,0.0,32,0.0,Homemaker,9.0,1,5.0,Cat_3,D
17,0,0.0,31,0.0,Healthcare,1.0,1,6.0,Cat_6,B
18,0,1.0,58,1.0,Entertainment,1.0,2,4.0,Cat_6,B
19,1,1.0,79,1.0,Artist,0.0,3,1.0,Cat_6,C
20,0,1.0,49,1.0,Homemaker,12.0,1,1.0,Cat_3,A
21,1,0.0,18,0.0,Healthcare,3.0,1,4.0,Cat_6,D
22,0,1.0,33,1.0,Artist,13.0,1,2.0,Cat_3,A
23,1,0.0,36,1.0,Artist,5.0,1,2.0,Cat_6,B
24,1,,58,0.0,Executive,1.0,2,3.0,Cat_3,B
25,0,1.0,56,0.0,Artist,1.0,2,3.0,Cat_6,C
26,0,0.0,31,0.0,Healthcare,9.0,1,8.0,Cat_4,A
27,0,1.0,49,1.0,Artist,1.0,2,3.0,Cat_6,C
28,0,0.0,35,1.0,Artist,0.0,1,1.0,Cat_6,B
29,1,0.0,35,0.0,Artist,5.0,1,4.0,Cat_6,C
30,1,1.0,45,1.0,Artist,0.0,1,3.0,Cat_6,C
31,1,1.0,42,0.0,Doctor,1.0,1,2.0,Cat_4,A
32,0,0.0,19,0.0,Healthcare,1.0,1,3.0,Cat_2,D
33,0,0.0,26,0.0,Homemaker,9.0,1,,Cat_6,D
34,1,1.0,83,0.0,Lawyer,1.0,3,2.0,Cat_6,D
35,1,0.0,27,1.0,Healthcare,3.0,1,4.0,Cat_1,D
36,0,0.0,32,0.0,Doctor,5.0,1,1.0,Cat_4,D
37,1,1.0,28,0.0,Healthcare,1.0,2,5.0,Cat_3,D
38,1,1.0,28,1.0,Artist,8.0,1,2.0,Cat_6,A
39,0,1.0,56,1.0,Artist,0.0,2,2.0,Cat_6,C
40,1,0.0,47,1.0,Artist,4.0,1,1.0,Cat_6,B
41,1,0.0,22,0.0,Healthcare,0.0,1,2.0,Cat_6,D
42,1,0.0,27,1.0,Artist,14.0,1,3.0,Cat_6,A
43,1,1.0,49,1.0,Artist,1.0,1,2.0,,C
44,0,1.0,40,0.0,Engineer,8.0,1,1.0,Cat_6,A
45,1,1.0,79,0.0,Lawyer,0.0,3,2.0,Cat_6,A
46,0,1.0,41,1.0,Artist,0.0,2,4.0,Cat_4,B
