,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags
0,13328,1399,1,1,2010,1,1,1,3.5,186005,6.0,1,1,1,1,1,12
1,16621,1018,2,2,2011,1,0,2,3.0,192000,6.0,2,1,1,1,2,8
2,8467,-,3,3,2006,2,0,2,1.3,200000,4.0,3,2,1,2,2,2
3,3607,862,4,4,2011,1,1,1,2.5,168966,4.0,1,1,1,1,3,0
4,11726,446,3,3,2014,2,1,2,1.3,91901,4.0,1,2,1,1,1,4
5,39493,891,5,5,2016,1,1,3,2.0,160931,4.0,1,2,1,1,3,4
6,1803,761,6,6,2010,2,1,1,1.8,258909,4.0,1,2,1,1,3,12
7,549,751,5,7,2013,3,1,2,2.4,216118,4.0,1,2,1,1,4,12
8,1098,394,6,8,2014,3,1,1,2.5,398069,4.0,1,2,1,1,2,12
9,26657,-,1,9,2007,1,1,2,3.5,128500,6.0,1,1,1,1,1,12
10,941,1053,7,10,2014,3,1,3,3.5,184467,6.0,1,3,1,1,3,12
11,8781,-,4,11,1999,4,0,4,4.0,0,8.0,4,3,2,1,5,0
12,3000,-,8,12,1997,5,0,4,1.6,350000,4.0,4,2,1,1,3,4
13,1019,1055,1,1,2013,1,1,1,3.5,138038,6.0,1,2,1,1,3,12
14,59464,891,5,5,2016,1,1,3,2.0,76000,4.0,1,2,1,1,3,4
15,549,1079,6,13,2018,1,1,2,2.0,74146,4.0,1,2,1,1,3,12
16,7683,810,5,14,2016,3,1,2,1.8,121840,4.0,1,2,1,1,5,12
17,28382,810,5,14,2016,3,1,2,1.8,54317,4.0,1,2,1,1,3,4
18,549,2386,5,7,2006,3,1,2,3.3,295059,6.0,1,3,1,1,5,12
19,941,1850,1,15,2008,1,1,1,3.5,364523,6.0,1,1,1,1,2,12
20,18826,531,5,14,2012,3,1,2,1.6,112645,4.0,1,2,1,1,1,4
21,20698,586,6,6,2012,3,1,5,1.8,187000,4.0,1,2,1,1,3,12
22,17562,1249,6,8,2017,3,1,2,2.5,39709,4.0,1,2,1,1,2,12
24,4704,-,8,12,1995,3,0,2,1.8,0,4.0,1,2,1,1,6,4
26,549,2455,1,17,2008,1,1,2,4.7,0,8.0,1,1,1,1,3,0
27,30,-,6,6,2008,3,0,1,1.5,169000,4.0,1,2,1,1,3,8
28,14454,583,5,14,2011,3,1,2,1.6,158787,4.0,1,2,1,1,1,4
29,12074,1537,6,18,2009,1,1,1,3.3,420550,6.0,1,1,1,1,5,12
31,19444,915,9,20,2014,1,1,3,3.0,175056,6.0,1,1,1,1,3,12
32,6899,-,10,21,2000,1,1,4,4.4,200000,8.0,1,1,1,1,1,6
33,125,1750,6,18,2008,3,1,1,3.3,287274,6.0,1,1,1,1,3,12
35,23235,707,5,5,2011,1,1,3,2.0,162000,4.0,1,2,1,1,4,4
36,51746,1077,6,23,2019,1,0,2,2.0,10200,4.0,2,2,1,1,7,12
37,7527,1486,3,3,2010,2,0,1,1.3,158000,4.0,1,2,1,2,2,4
38,19121,531,5,14,2012,3,1,2,1.6,103490,4.0,1,2,1,1,1,4
39,314,1399,1,1,2010,1,1,1,3.5,382746,6.0,1,1,1,1,1,12
40,24462,751,6,8,2013,3,1,2,2.4,203200,4.0,1,2,1,1,5,4
41,45734,1091,5,24,2016,6,1,3,2.5,61057,4.0,1,2,1,1,2,4
43,21326,382,5,7,2014,3,1,1,2.4,141000,4.0,2,2,1,1,3,12
44,549,1436,9,20,2010,1,1,2,3.6,160259,6.0,1,1,1,1,1,12
45,220,1194,6,26,2013,1,1,2,4.0,239342,6.0,1,1,1,1,1,12
46,15681,503,6,27,2012,2,0,1,1.5,128000,4.0,3,2,1,1,8,8
47,55390,1017,5,5,2017,1,1,3,2.0,100734,4.0,1,2,1,1,2,4
48,12544,-,6,28,2012,2,0,1,1.5,141500,4.0,1,2,1,2,2,8
49,17249,-,4,29,2008,1,0,1,2.3,147000,4.0,3,1,1,1,3,8
50,34889,891,3,30,2016,3,1,2,2.0,87768,4.0,1,2,1,1,5,4
51,862,1104,13,31,2015,1,1,2,3.0,264014,6.0,1,1,1,1,2,0
53,392,1017,7,33,2017,3,1,2,2.0,1600,4.0,1,3,1,1,2,12
54,38500,639,13,34,2014,1,1,2,2.0,87000,1.0,2,1,1,1,3,12
55,8781,-,7,35,2001,7,0,2,2.0,260000,4.0,4,3,2,1,5,0
57,1411,629,15,37,2015,1,1,2,1.6,87112,4.0,1,1,1,1,2,0
58,392,919,10,38,2012,3,1,2,3.0,204318,6.0,1,3,1,1,2,12
