,Price,Levy,Manufacturer,Model,Prod. year,Category,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels
0,13328,1399,1,1,2010,1,1,3.5,186005,6.0,1,1
1,16621,1018,2,2,2011,1,2,3.0,192000,6.0,2,1
2,8467,0,3,3,2006,2,2,1.3,200000,4.0,3,2
3,3607,862,4,4,2011,1,1,2.5,168966,4.0,1,1
4,11726,446,3,3,2014,2,2,1.3,91901,4.0,1,2
5,39493,891,5,5,2016,1,3,2.0,160931,4.0,1,2
6,1803,761,6,6,2010,2,1,1.8,258909,4.0,1,2
7,549,751,5,7,2013,3,2,2.4,216118,4.0,1,2
8,1098,394,6,8,2014,3,1,2.5,398069,4.0,1,2
9,26657,0,1,9,2007,1,2,3.5,128500,6.0,1,1
10,941,1053,7,10,2014,3,3,3.5,184467,6.0,1,3
11,8781,0,4,11,1999,4,4,4.0,0,8.0,4,3
12,3000,0,8,12,1997,5,4,1.6,350000,4.0,4,2
13,1019,1055,1,1,2013,1,1,3.5,138038,6.0,1,2
14,59464,891,5,5,2016,1,3,2.0,76000,4.0,1,2
15,549,1079,6,13,2018,1,2,2.0,74146,4.0,1,2
16,7683,810,5,14,2016,3,2,1.8,121840,4.0,1,2
17,28382,810,5,14,2016,3,2,1.8,54317,4.0,1,2
18,549,2386,5,7,2006,3,2,3.3,295059,6.0,1,3
19,941,1850,1,15,2008,1,1,3.5,364523,6.0,1,1
20,18826,531,5,14,2012,3,2,1.6,112645,4.0,1,2
21,20698,586,6,6,2012,3,5,1.8,187000,4.0,1,2
22,17562,1249,6,8,2017,3,2,2.5,39709,4.0,1,2
23,4704,0,8,12,1995,3,2,1.8,0,4.0,1,2
24,549,2455,1,17,2008,1,2,4.7,0,8.0,1,1
25,30,0,6,6,2008,3,1,1.5,169000,4.0,1,2
26,14454,583,5,14,2011,3,2,1.6,158787,4.0,1,2
27,12074,1537,6,18,2009,1,1,3.3,420550,6.0,1,1
28,19444,915,9,20,2014,1,3,3.0,175056,6.0,1,1
29,6899,0,10,21,2000,1,4,4.4,200000,8.0,1,1
30,125,1750,6,18,2008,3,1,3.3,287274,6.0,1,1
31,23235,707,5,5,2011,1,3,2.0,162000,4.0,1,2
32,51746,1077,6,23,2019,1,2,2.0,10200,4.0,2,2
33,7527,1486,3,3,2010,2,1,1.3,158000,4.0,1,2
34,19121,531,5,14,2012,3,2,1.6,103490,4.0,1,2
35,314,1399,1,1,2010,1,1,3.5,382746,6.0,1,1
36,24462,751,6,8,2013,3,2,2.4,203200,4.0,1,2
37,45734,1091,5,24,2016,6,3,2.5,61057,4.0,1,2
38,21326,382,5,7,2014,3,1,2.4,141000,4.0,2,2
39,549,1436,9,20,2010,1,2,3.6,160259,6.0,1,1
40,220,1194,6,26,2013,1,2,4.0,239342,6.0,1,1
41,15681,503,6,27,2012,2,1,1.5,128000,4.0,3,2
42,55390,1017,5,5,2017,1,3,2.0,100734,4.0,1,2
43,12544,0,6,28,2012,2,1,1.5,141500,4.0,1,2
44,17249,0,4,29,2008,1,1,2.3,147000,4.0,3,1
45,34889,891,3,30,2016,3,2,2.0,87768,4.0,1,2
46,862,1104,13,31,2015,1,2,3.0,264014,6.0,1,1
47,392,1017,7,33,2017,3,2,2.0,1600,4.0,1,3
48,38500,639,13,34,2014,1,2,2.0,87000,1.0,2,1
49,8781,0,7,35,2001,7,2,2.0,260000,4.0,4,3
50,1411,629,15,37,2015,1,2,1.6,87112,4.0,1,1
51,392,919,10,38,2012,3,2,3.0,204318,6.0,1,3
52,10349,0,6,41,2007,8,2,2.4,170000,4.0,1,2
53,7213,125,15,37,2013,1,2,1.6,312118,4.0,1,2
54,5331,0,7,42,2004,3,2,1.6,130000,4.0,2,2
55,20526,1131,5,43,2013,1,3,2.0,200279,4.0,1,2
56,9722,765,5,7,2015,3,6,2.0,719847,4.0,1,2
57,34657,777,5,24,2014,8,3,2.5,154672,4.0,1,2
58,36564,1091,5,24,2016,8,3,2.5,110969,4.0,1,2
59,314,779,6,8,2013,3,1,2.5,225510,4.0,1,2
60,5488,0,6,44,2001,2,2,1.5,210000,4.0,4,2
61,30063,934,5,24,2015,6,3,2.5,148105,4.0,1,2
62,15800,769,2,45,2011,1,3,2.2,255456,4.0,1,2
63,43952,1249,5,24,2017,6,3,2.5,111643,4.0,1,2
64,53154,891,5,5,2016,1,3,2.0,84506,4.0,1,2
65,14740,815,6,6,2011,2,1,1.8,288000,4.0,1,2
66,3763,1053,7,47,2014,1,2,3.5,94362,6.0,1,3
67,18189,0,6,6,2012,3,2,1.8,175000,4.0,1,2
68,862,2455,1,17,2008,1,2,4.7,263190,8.0,1,1
69,220,1185,4,4,2009,1,1,2.5,193614,4.0,1,2
70,5645,1324,6,18,2010,1,1,3.3,264877,6.0,1,1
71,7527,830,6,48,2019,3,2,1.5,27656,4.0,1,2
72,21953,1187,3,30,2014,3,1,1.4,16000,8.0,1,1
73,8154,0,3,49,1998,1,2,2.0,0,4.0,1,1
74,21953,781,6,8,2012,3,2,2.5,195053,4.0,1,2
75,19121,531,5,14,2012,3,2,1.6,121362,4.0,1,2
76,36065,639,5,5,2014,1,3,2.0,69191,4.0,1,2
77,8781,174,3,3,2012,2,1,1.3,83000,4.0,2,2
78,6247,760,2,50,2010,3,2,1.8,40772,4.0,1,2
79,16289,642,2,51,2012,1,3,2.0,172000,4.0,1,2
80,77775,1604,7,52,2014,1,2,5.5,433811,8.0,1,1
81,2822,0,10,53,1995,3,2,2.0,350000,6.0,4,3
82,549,781,16,54,2012,1,2,2.5,148213,4.0,1,1
83,6981,1095,17,55,2008,3,2,2.0,103246,4.0,1,2
84,27284,891,5,14,2016,3,2,2.0,105394,4.0,2,2
85,4234,0,3,30,1997,2,2,1.4,0,4.0,4,2
86,15053,0,7,58,2004,3,2,3.2,214000,6.0,2,3
87,15458,966,5,59,2009,7,2,2.0,123346,4.0,1,2
88,2901,473,2,50,2014,3,2,1.4,80827,4.0,1,2
89,706,1138,9,60,2013,7,2,3.8,64464,6.0,1,3
90,314,382,4,40,2015,3,1,2.0,91760,4.0,1,2
91,15681,1811,1,61,2010,1,2,4.6,275240,8.0,1,1
92,10663,988,6,6,2007,2,2,1.5,318400,4.0,1,2
93,12858,765,4,63,2015,3,2,2.0,91200,4.0,1,2
94,1019,917,10,21,2013,1,3,3.0,137802,6.0,1,1
95,549,917,10,38,2013,3,1,3.0,151586,6.0,1,3
96,12858,0,18,64,2016,2,2,1.2,107000,4.0,4,2
97,15000,0,10,65,2008,3,4,3.0,210408,6.0,2,3
98,85553,1156,4,66,2017,1,2,2.3,100567,4.0,1,2
99,44752,1091,5,24,2016,6,3,2.5,86000,4.0,1,2
100,17158,687,5,14,2010,3,2,1.6,122740,4.0,1,2
101,12231,0,19,67,2005,1,6,2.4,144000,4.0,2,1
103,1254,0,19,69,1997,3,2,1.3,100000,4.0,4,3
104,94,0,3,3,2003,2,2,1.5,178000,4.0,3,2
105,25591,1131,20,70,2013,1,3,2.0,85704,4.0,1,2
106,14897,836,5,5,2010,1,3,2.0,58962,4.0,1,2
107,23521,779,6,8,2013,3,1,2.5,90000,4.0,2,2
108,3450,0,14,71,1995,2,2,1.2,50000,3.0,4,2
109,706,777,21,72,2014,3,2,2.5,0,4.0,1,2
110,1019,1537,6,18,2009,3,1,3.3,318358,6.0,1,1
111,16935,765,4,40,2015,3,2,2.0,71454,4.0,1,2
112,19444,781,6,8,2012,3,2,2.5,0,4.0,2,2
113,11604,639,5,7,2014,3,6,2.0,346470,4.0,1,2
114,51965,891,5,5,2016,1,3,2.0,59515,4.0,1,2
115,706,394,6,8,2014,3,1,2.5,115312,4.0,1,2
116,13328,1347,5,24,2008,8,3,2.5,74444,4.0,1,2
117,17876,0,15,74,2012,8,2,2.0,143000,4.0,2,2
118,549,2866,15,75,2004,3,2,3.5,299709,6.0,1,2
119,20071,0,6,76,2008,1,2,2.4,135000,4.0,1,1
120,22894,862,5,24,2011,8,3,2.5,124444,4.0,1,2
121,2901,503,3,30,2012,3,1,1.5,146403,4.0,1,2
122,15681,0,19,77,1997,1,2,2.4,142000,4.0,1,1
123,39829,1811,1,61,2010,1,2,4.6,155821,8.0,1,1
124,706,1646,1,61,2015,1,2,4.6,102907,8.0,1,1
125,18660,0,5,7,2013,3,2,2.4,130000,4.0,2,2
126,22580,1017,7,33,2017,3,2,2.0,50930,4.0,1,3
127,11604,639,5,7,2014,3,6,2.0,264872,4.0,1,2
128,314,259,2,78,2014,2,1,1.4,131893,4.0,1,2
129,5488,751,22,79,2013,1,2,2.4,138958,4.0,1,2
130,4300,0,7,80,1985,6,3,2.5,1111111,4.0,4,3
131,18817,609,6,8,2018,3,1,2.5,35058,4.0,1,2
132,21169,697,3,81,2015,1,2,1.8,33330,4.0,1,1
133,9095,0,23,82,2011,7,2,1.2,141000,4.0,1,2
134,1568,639,12,25,2014,3,3,2.0,82392,4.0,1,2
135,17876,585,5,84,2013,3,2,1.8,117920,4.0,2,2
136,11290,891,5,7,2016,3,6,2.0,279787,4.0,1,2
137,36065,1399,6,85,2010,8,2,3.5,227200,6.0,2,2
138,862,394,6,8,2014,3,1,2.5,130478,4.0,1,2
139,21395,781,5,24,2012,6,3,2.5,166144,4.0,1,2
140,15681,891,5,7,2016,3,6,2.0,258706,4.0,1,2
141,627,475,2,78,2012,1,1,1.4,188419,4.0,1,2
142,40070,690,6,28,2016,2,2,1.5,25807,4.0,1,2
143,11917,0,7,86,2008,2,2,1.7,180000,4.0,1,2
144,35927,1131,20,88,2013,1,3,2.0,137267,4.0,1,2
145,21012,308,6,6,2014,3,1,1.8,160000,4.0,1,1
146,21012,1823,6,26,2018,3,2,3.5,27358,6.0,1,2
147,13172,1361,18,89,2009,8,3,2.9,84176,4.0,1,2
148,15624,707,5,59,2011,7,2,2.0,107005,4.0,1,2
149,4547,0,8,12,1997,3,2,1.6,15000,4.0,4,2
150,5488,1273,24,90,2015,1,2,3.5,124154,6.0,1,1
151,20005,531,5,14,2012,3,2,1.6,104997,4.0,1,2
152,36110,924,12,91,2017,3,2,1.8,27728,6.0,2,2
153,7840,0,7,92,1998,3,2,2.4,777777,6.0,4,3
154,470,1077,21,93,2019,1,2,2.0,11566,4.0,1,1
155,1300,0,13,94,2018,7,2,0.5,4000,1.0,2,3
156,43880,891,5,5,2016,1,3,2.0,113700,4.0,1,2
157,17249,0,6,8,2011,3,1,2.5,152000,4.0,3,2
158,9408,0,6,96,2003,6,2,1.5,181926,4.0,1,1
159,44213,891,5,5,2016,1,3,2.0,50255,4.0,1,2
160,8467,2078,10,97,2001,3,2,2.5,252800,6.0,4,3
161,627,915,13,98,2014,3,2,3.0,164488,6.0,1,1
162,706,475,23,82,2012,2,2,1.4,164574,4.0,1,2
163,3136,473,2,50,2014,3,2,1.4,156992,4.0,1,2
164,3450,0,8,12,1995,3,4,2.0,0,4.0,4,2
165,31500,0,15,99,2010,1,6,4.0,90200,6.0,2,1
166,20385,0,19,100,2005,8,2,3.0,184000,6.0,1,1
167,314,1053,7,10,2014,3,3,3.5,149486,6.0,1,1
168,2300,0,12,101,1996,3,4,2.0,0,4.0,4,2
169,7840,0,7,102,2004,6,6,1.9,170000,4.0,2,2
170,56450,0,6,103,2018,3,2,2.5,25000,4.0,2,2
171,1490,639,12,25,2014,6,3,2.0,113214,4.0,1,2
172,627,836,6,26,2012,3,2,2.7,394069,4.0,1,3
173,314,1053,7,10,2014,3,3,3.5,149486,6.0,1,1
174,13172,0,3,49,2002,1,2,2.4,260000,4.0,1,1
175,4704,917,13,105,2013,2,2,3.0,301707,6.0,1,1
176,706,751,5,7,2013,3,2,2.4,175827,4.0,1,2
177,5802,1055,7,10,2013,3,3,3.5,107800,6.0,1,3
178,25716,777,6,8,2014,3,2,2.5,115200,4.0,1,2
179,14426,642,2,51,2012,1,6,2.0,132036,4.0,1,2
180,10820,0,6,76,2001,1,2,2.0,91000,4.0,1,1
181,45436,1172,4,66,2011,1,2,3.5,129177,4.0,1,2
182,11917,893,5,106,2008,2,3,1.6,201000,4.0,4,2
183,41281,765,5,5,2015,1,3,2.0,185811,4.0,1,2
184,4391,0,15,107,1998,3,2,2.4,358400,4.0,4,2
185,3058,1872,9,20,2018,3,2,3.6,28968,6.0,1,1
186,3700,0,25,108,2001,7,2,1.8,240000,4.0,4,2
187,15681,0,26,109,2008,1,2,1.6,98000,4.0,1,1
188,6586,815,1,110,2011,2,1,1.8,122302,4.0,1,2
189,12544,0,6,6,2007,2,1,1.5,140000,4.0,1,2
190,30063,639,5,43,2014,1,3,2.0,120000,4.0,1,2
191,72130,1885,9,111,2010,2,2,4.8,196800,8.0,2,1
192,21639,0,5,112,2015,2,2,1.6,17200,4.0,2,2
193,36692,0,6,113,2013,1,2,2.5,120000,4.0,2,2
194,30,0,3,3,2002,2,2,1.5,0,4.0,1,2
195,12231,1266,6,28,2014,2,1,1.5,66000,4.0,3,2
196,3136,0,6,114,2004,3,2,1.5,300000,4.0,3,2
197,10663,0,6,6,2009,3,1,1.8,230000,4.0,3,2
198,5620,447,3,3,2013,2,2,1.3,110467,4.0,1,2
199,19130,2148,7,115,2010,3,2,5.5,157000,4.0,1,2
200,9408,174,3,3,2012,2,1,1.3,64000,4.0,3,2
201,3,0,5,14,2011,3,2,1.8,80000,4.0,2,2
202,5959,1730,2,116,2011,3,2,5.3,246976,8.0,1,2
203,26594,777,5,24,2014,8,3,2.5,179918,4.0,1,2
204,36065,779,6,117,2013,3,1,2.5,92200,4.0,2,2
205,549,862,21,119,2011,3,2,2.5,216550,4.0,1,2
206,6000,0,11,22,1993,1,2,4.0,240000,6.0,1,1
207,40142,1811,1,17,2010,1,2,4.6,357246,8.0,1,1
208,14000,585,5,14,2013,3,2,1.8,50000,4.0,2,2
209,17923,473,2,50,2014,3,2,1.4,127842,4.0,1,2
210,54518,831,5,43,2017,1,2,1.6,40193,4.0,1,2
211,10349,0,8,120,2003,2,2,1.6,180000,4.0,4,2
212,8154,0,6,121,2002,2,2,1.3,115000,4.0,1,2
213,282,289,4,4,2008,1,1,0.4,220474,4.0,1,2
214,7527,1131,12,91,2013,3,3,2.0,132310,4.0,1,2
215,3450,1249,6,8,2017,3,2,2.5,60762,4.0,1,2
216,22063,836,5,43,2010,1,3,2.0,142264,4.0,1,2
217,2901,503,3,30,2012,3,1,1.5,146403,4.0,1,2
218,4704,585,6,122,2013,3,2,1.8,227371,4.0,1,2
219,5331,0,12,91,2002,3,2,2.8,175000,6.0,4,2
220,941,642,12,25,2012,3,3,2.0,203440,4.0,1,2
221,16900,502,3,3,2013,2,2,1.5,70000,4.0,1,2
222,18189,0,15,123,2010,1,2,2.5,122000,4.0,1,1
223,5331,0,21,124,2000,8,2,2.5,127000,4.0,1,2
224,42651,1017,7,36,2017,1,2,2.0,44995,4.0,1,1
225,15524,586,6,6,2012,2,1,1.8,122324,4.0,1,2
226,17249,0,10,125,2007,3,2,3.0,111111,6.0,2,3
227,73071,0,1,126,2013,3,2,3.5,56000,6.0,2,3
228,862,333,4,40,2014,3,1,2.0,186048,4.0,1,2
229,28909,831,5,14,2017,3,3,1.6,98000,4.0,1,2
230,8467,642,5,7,2012,3,6,2.0,573249,4.0,1,2
